Date,NegativeRate
2003-09-30,1.0
2003-10-31,0.052631578947368474
2003-11-30,0.07547169811320753
2003-12-31,0.0
2004-01-31,0.06382978723404253
2004-02-29,0.06666666666666665
2004-03-31,0.0
2004-04-30,0.046511627906976716
2004-05-31,0.4821428571428571
2004-06-30,0.08333333333333337
2004-07-31,0.09589041095890416
2004-08-31,0.0
2004-09-30,0.11764705882352944
2004-10-31,0.04761904761904767
2004-11-30,0.06000000000000005
2004-12-31,0.07999999999999996
2005-01-31,0.05063291139240511
2005-02-28,0.08536585365853655
2005-03-31,0.0847457627118644
2005-04-30,0.08333333333333337
2005-05-31,0.1132075471698113
2005-06-30,0.1454545454545455
2005-07-31,0.047169811320754707
2005-08-31,0.08695652173913049
2005-09-30,0.22274881516587675
2005-10-31,0.0699300699300699
2005-11-30,0.09774436090225569
2005-12-31,0.11827956989247312
2006-01-31,0.15163934426229508
2006-02-28,0.2355212355212355
2006-03-31,0.11188811188811187
2006-04-30,0.16091954022988508
2006-05-31,0.08743169398907102
2006-06-30,0.07668711656441718
2006-07-31,0.13655172413793104
2006-08-31,0.09322974472807988
2006-09-30,0.14893617021276595
2006-10-31,0.1507936507936508
2006-11-30,0.10560519902518273
2006-12-31,0.12777777777777777
2007-01-31,0.08580397628182768
2007-02-28,0.11202389843166538
2007-03-31,0.11171259842519687
2007-04-30,0.10739614994934144
2007-05-31,0.08145240431795875
2007-06-30,0.10209003215434087
2007-07-31,0.09348441926345608
2007-08-31,0.10006373486297004
2007-09-30,0.09435096153846156
2007-10-31,0.12697483908718554
2007-11-30,0.11128775834658189
2007-12-31,0.11085870059064062
2008-01-31,0.11702127659574468
2008-02-29,0.1056118472330475
2008-03-31,0.11370123691722167
2008-04-30,0.12324093816631132
2008-05-31,0.08571428571428574
2008-06-30,0.11548757170172086
2008-07-31,0.1052254831782391
2008-08-31,0.13064046579330424
2008-09-30,0.10183378852906755
2008-10-31,0.11314013497419606
2008-11-30,0.09794319294809006
2008-12-31,0.12129380053908356
2009-01-31,0.11230079681274896
2009-02-28,0.1287077637348465
2009-03-31,0.11448337424681987
2009-04-30,0.11084961167333485
2009-05-31,0.12762724740440623
2009-06-30,0.12348555452003729
2009-07-31,0.14031300593631946
2009-08-31,0.12460815047021945
2009-09-30,0.13322300372362428
2009-10-31,0.12370260538021605
2009-11-30,0.13042544048130644
2009-12-31,0.14040750453903572
2010-01-31,0.15239936719985936
2010-02-28,0.11444557477110884
2010-03-31,0.1310646900269542
2010-04-30,0.1276879162702188
2010-05-31,0.13397046046915728
2010-06-30,0.1433466590519703
2010-07-31,0.14662615925807487
2010-08-31,0.16082506203473945
2010-09-30,0.1616844294255264
2010-10-31,0.18504090377873006
2010-11-30,0.15742981606969986
2010-12-31,0.19778597785977858
2011-01-31,0.17908334807998583
2011-02-28,0.18099933630416232
2011-03-31,0.15067661346287298
2011-04-30,0.15413640222620506
2011-05-31,0.15333004440059206
2011-06-30,0.1743058823529412
2011-07-31,0.16423746889441881
2011-08-31,0.15326769517016825
2011-09-30,0.1521277374935911
2011-10-31,0.16766348997699643
2011-11-30,0.16651075771749302
2011-12-31,0.18690150478796175
2012-01-31,0.18431353118961502
2012-02-29,0.17534913368488148
2012-03-31,0.1814802485574789
2012-04-30,0.1672034970666053
2012-05-31,0.16779499804173892
2012-06-30,0.17572616608412683
2012-07-31,0.16237775228104678
2012-08-31,0.17052355161660926
2012-09-30,0.17701557263946388
2012-10-31,0.16209621810852382
